# last latitude ; last longitude ; num of vlevs ; num of sfc vlevs ; name ; CMEMS code ; WMO code; time period; fields list ; quality flag value ; obs path tpl / name tpl ; 
35.7263;25.1307;19;2;_;61277;61277;2007-05-28,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_61277.nc;
39.4928;2.7004;22;8;BAHIA-DE-PALMA;61499;61499;2012-05-05,2020-09-30;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_61499.nc;
36.8288;21.6068;12;2;_;68422;68422;2007-11-09,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_68422.nc;
39.975;24.7294;17;3;_;ATHOS;6101003;2000-05-25,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_ATHOS.nc;
39.9998;3.83122;7;4;Station_Ciutadella;CIUTADELLA;_;2014-09-19,2019-01-31;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_CIUTADELLA.nc;
35.4342;25.0792;4;3;_;HERAKLION;_;2016-07-15,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_HERAKLION.nc;
36.971;22.094;7;2;_;KALAM;6101002;2007-05-11,2011-02-26;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_KALAM.nc;
40.728916;23.973534;11;2;_;Kariani;_;2019-04-15,2020-12-31;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_Kariani.nc;
39.8683;4.30957;13;3;Station_La_Mola;LA-MOLA;_;2011-04-28,2019-01-31;HCSP,HCDT,EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_LA-MOLA.nc;
39.156;25.807;9;2;_;LESVO;6101004;2001-01-29,2012-07-28;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_LESVO.nc;
37.5194;25.4597;10;3;_;MYKON;6101005;2001-01-01,2021-12-31;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_MYKON.nc;
41.66333;2.908333;11;1;_;OOCS;_;2015-06-25,2016-12-20;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_OOCS.nc;
36.262;25.501;9;2;_;SANTO;6101006;2001-03-07,2011-03-03;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_SANTO.nc;
37.6099;23.5669;3;2;_;SARON;6101001;2007-08-27,2019-08-01;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_SARON.nc;
39.113;24.464;3;2;_;SKYRO;6101000;2007-08-28,2012-07-18;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_SKYRO.nc;
#45.5488;13.550525;24;5;_;VIDA;6101630;2015-01-01,2022-01-23;EWCT,NSCT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_VIDA.nc;
45.5488;13.550525;24;5;_;VIDA;6101630;2015-01-01,2022-01-23;EWCT,NSCT;1;/work/oda/mg28621/prova_destag/surface_insitu_validation/vida_no_duplicates.nc;
37.956;20.604;3;2;_;ZAKYN;6101009;2007-11-08,2012-01-23;HCSP,HCDT;1;/data/inputs/metocean/historical/obs/in_situ/history_EIS_202112/MedSea/multiparameter/mooring//MO_TS_MO_ZAKYN.nc;
